# Nnorm    = 1e+20 1/m^3
# Tnorm    = 100.0 eV
# Pnorm    = 1602.176634 Pa
# Cs0      = 69205.61141651045 m/s
# Cst      = 69602.08996163515 m/s
# Nesource = 1.5999999999999998e+22 m/s
# PeSource = 533333.3333333334 m/s
ypos,M,Ne,Te,P,Nn,NVi,Cs
4.4375,0.09937895564476741,0.09251737169080082,0.6225136471819382,0.11518665295785488,0.0,77220.16870766005,0.01025905011229591
4.5625,0.10222867543439004,0.09247886155814702,0.6224188502575042,0.11512117336828957,0.0,77214.28890628135,0.010548035308340932
4.6875,0.1050827186421362,0.09243924450559556,0.6223212665248161,0.11505381543463876,0.0,77208.23578475404,0.01083702328399411
4.8125,0.10794121915709157,0.09239851733743372,0.62222088274301,0.11498457404368667,0.0,77202.00848088035,0.011126014216357855
4.9375,0.11080431130688076,0.09235667680189014,0.6221176854453944,0.1149134440148405,0.0,77195.60611699823,0.011415008205990413
5.0625,0.11367212981688311,0.09231371959179452,0.622011660941335,0.11484042010192952,0.0,77189.02780007214,0.011704005269656257
5.1875,0.11654480979582672,0.09226964234375293,0.6219027953114207,0.11476549699192996,0.0,77182.2726213664,0.011993005335542428
5.3125,0.11942248675388863,0.09222444163589545,0.6217910743961566,0.11468866930073815,0.0,77175.33965571609,0.01228200824152705
5.4375,0.12230529665519911,0.09217811398403718,0.6216764837775138,0.11460993156567821,0.0,77168.22796035343,0.012571013736610143
5.5625,0.12519337600879732,0.09213065583630717,0.6215590087535865,0.11452927823486583,0.0,77160.936573305,0.012860021485869295
5.6875,0.12808686199731942,0.09208206356607689,0.6214386343056371,0.11444670365309537,0.0,77153.46451131499,0.013149031078769403
5.8125,0.13098589264431862,0.09203233346325636,0.6213153450578334,0.11436220204440142,0.0,77145.81076731237,0.013438042040860056
5.9375,0.13389060701735458,0.09198146172395627,0.6211891252297155,0.1142757674913099,0.0,77137.97430742453,0.01372705384849499
6.0625,0.1368011454638905,0.09192944443873359,0.621059958582356,0.11418739391123775,0.0,77129.95406759629,0.014016065946241527
6.1875,0.1397176498754153,0.091876277579787,0.6209278283598908,0.11409707503081534,0.0,77121.7489499183,0.01430507776652021
6.3125,0.14264026397224622,0.09182195698752026,0.6207927172283016,0.11400480435900588,0.0,77113.35781878093,0.014594088750736155
6.4375,0.14556913360272059,0.09176647835721477,0.6206546072147932,0.11391057516056391,0.0,77104.77949706139,0.014883098371378916
6.5625,0.1485044070441259,0.09170983722627722,0.6205134796498768,0.11381438043080218,0.0,77096.01276247467,0.01517210615388535
6.6875,0.15144623529735224,0.0916520289629743,0.6203693151162518,0.11371621287355047,0.0,77087.0563443426,0.015461111697656255
6.8125,0.1543947723583396,0.09159304875695166,0.6202220934058482,0.11361606488292096,0.0,77077.90892086591,0.015750114694604304
6.9375,0.15735017545764643,0.09153289161239474,0.6200717934888492,0.1135139285306361,0.0,77068.56911713688,0.016039114944603697
7.0625,0.16031260525033794,0.09147155234388428,0.6199183934949669,0.11340979555902304,0.0,77059.03550390969,0.016328112366128106
7.1875,0.16328222594966765,0.09140902557561856,0.6197618707099241,0.1133036573810333,0.0,77049.30659731312,0.016617107001675162
7.3125,0.1662592053915474,0.09134530574387421,0.6196022015865977,0.1131955050870107,0.0,77039.38085947192,0.016906099016751063
7.4375,0.1692437150287683,0.09128038710305711,0.619439361772323,0.11308532945889654,0.0,77029.25670013133,0.017195088692531283
7.5625,0.17223592985233746,0.09121426373506442,0.6192733261511283,0.11297312099127915,0.0,77018.93247920886,0.017484076412008283
7.6875,0.17523602824580214,0.09114692956174392,0.6191040688998503,0.1128588699188074,0.0,77008.40651020902,0.0177730626403112
7.8125,0.17824419178309944,0.09107837835996449,0.6189315635559705,0.11274256624895018,0.0,76997.67706436793,0.018062047900277458
7.9375,0.1812606049808887,0.09100860377826722,0.6187557830924414,0.11262419979794291,0.0,76986.74237523375,0.01835103274422968
8.0625,0.1842854550282773,0.09093759935441621,0.6185766999964641,0.11250376022851075,0.0,76975.60064349514,0.018640017724176366
8.1875,0.18731893150599718,0.09086535853198796,0.6183942863437354,0.11238123708551269,0.0,76964.25004153003,0.018929003361189838
8.3125,0.190361226126812,0.09079187467534537,0.6182085138652362,0.11225661982816808,0.0,76952.68871749262,0.019217990116974486
8.4375,0.19341253250612336,0.0907171410806387,0.6180193539958407,0.11212989785401177,0.0,76940.91479827066,0.01950697836780006
8.5625,0.19647304599813128,0.09064115098258389,0.6178267779036184,0.1120010605140904,0.0,76928.9263912424,0.01979596838415578
8.6875,0.19954296360019727,0.09056389755475196,0.6176307564895327,0.11187009711476398,0.0,76916.72158419022,0.02008496031555225
8.8125,0.2026224839572439,0.09048537390385052,0.6174312603596801,0.11173699690714266,0.0,76904.29844350295,0.02037395418356952
8.9375,0.20571180746054066,0.0904055730564841,0.6172282597632246,0.1116017490611015,0.0,76891.65501023826,0.020662949881863714
9.0625,0.2088111364602824,0.09032448793967433,0.6170217245017504,0.11146434262655083,0.0,76878.78929439922,0.02095194718516436
9.1875,0.2119206755780181,0.090242111354959,0.6168116238092977,0.11132476648166344,0.0,76865.69926737652,0.021240945765518982
9.3125,0.21504063211640698,0.09015843594781507,0.6165979262108714,0.1111830092716769,0.0,76852.38285303961,0.02152994521579211
9.4375,0.21817121654787588,0.09007345417393438,0.6163805993665337,0.11103905934148735,0.0,76838.83791791742,0.021818945078828863
9.5625,0.22131264305053838,0.08998715826378598,0.6161596099074331,0.11089290466498562,0.0,76825.06226086334,0.022107944879402586
9.6875,0.22446513007757063,0.0898995401887883,0.6159349232791016,0.11074453277801567,0.0,76811.05360315865,0.022396944158554866
9.8125,0.22762890089863086,0.08981059162921087,0.6157065035924084,0.1105939307151741,0.0,76796.80957907911,0.022685942504238346
9.9375,0.23080418411713868,0.0897203039486455,0.6154743135044105,0.11044108496039928,0.0,76782.32772831117,0.02297493958034286
10.0625,0.23399121408201604,0.08962866817311324,0.6152383141202058,0.11028598140733106,0.0,76767.6054896651,0.023263935145542043
10.1875,0.2371902312257511,0.08953567498038847,0.6149984649413361,0.11012860534085062,0.0,76752.64019768043,0.023552929067291766
10.3125,0.24040148224870336,0.0894413146956241,0.6147547238429402,0.1099689414317158,0.0,76737.42908101593,0.023841921322017914
10.4375,0.24362522020730618,0.08934557729811696,0.6145070471016653,0.10980697375411885,0.0,76721.96926400045,0.024130911989263256
10.5625,0.2468617044565441,0.08924845243447674,0.6142553894529881,0.109642685816432,0.0,76706.2577700158,0.02441990123359884
10.6875,0.25011120050837193,0.08914992944012384,0.6139997041864367,0.10947606060895548,0.0,76690.2915272446,0.02470888928143136
10.8125,0.2533739798158921,0.08904999736567783,0.6137399432634861,0.10930708066164939,0.0,76674.06737583556,0.024997876392749977
10.9375,0.2566503195119819,0.08894864500506373,0.6134760574431075,0.1091357281052261,0.0,76657.58207555024,0.025286862829664955
11.0625,0.25994050218883913,0.08884586092562889,0.6132079964168904,0.10896198473627718,0.0,76640.83231401221,0.025575848830480665
11.1875,0.26324481568005026,0.08874163349116823,0.6129357089114719,0.10878583206774242,0.0,76623.81471291825,0.025864834582028002
11.3125,0.26656355299991297,0.0886359508834088,0.6126591427841389,0.10860725137617255,0.0,76606.52583382586,0.026153820207403464
11.4375,0.26989701232771074,0.08852880110881478,0.6123782450509406,0.10842622371895953,0.0,76588.96217972347,0.02644280575268442
11.5625,0.2732454972147783,0.0884201720006278,0.6120929618928007,0.10824272994187031,0.0,76571.1201952219,0.026731791193480247
11.6875,0.276609316865322,0.0883100512039161,0.6118032385835304,0.10805675065206656,0.0,76552.99626185512,0.027020776441394563
11.8125,0.27998878661361376,0.08819842615382954,0.6115090193859781,0.10786826617742981,0.0,76534.58669137562,0.027309761365890688
11.9375,0.2833842284879438,0.08808528404233233,0.6112102473952178,0.10767725650278394,0.0,76515.88771571935,0.027598745818471788
12.0625,0.2867959718467622,0.0879706117778615,0.6109068643481339,0.10748370119200078,0.0,76496.89547484642,0.027887729659098026
12.1875,0.29022435409644687,0.08785439594558485,0.6105988104358336,0.10728757931186567,0.0,76477.60600473383,0.02817671278869893
12.3125,0.293669721304695,0.08773662276243517,0.6102860240908711,0.10708886934569437,0.0,76458.01522376464,0.028465695167093588
12.4375,0.2971324288629323,0.08761727804600006,0.6099684418383522,0.10688754913567262,0.0,76438.11892309057,0.028754676839406367
12.5625,0.30061284190389187,0.08749634718239636,0.6096459981416642,0.10668359582352324,0.0,76417.91275663275,0.029043657936372064
12.6875,0.30411133569377474,0.08737381511415317,0.6093186253403268,0.10647698583219134,0.0,76397.39223683205,0.029332638679289168
12.8125,0.30762829577012624,0.08724966633334466,0.6089862536121511,0.10626769485850758,0.0,76376.55273190537,0.02962161936160422
12.9375,0.31116411793933724,0.08712388488732271,0.608648810992994,0.10605569789151889,0.0,76355.38946669883,0.029910600321862588
13.0625,0.31471920818934274,0.0869964543966196,0.6083062234534118,0.10584096925568928,0.0,76333.89752710062,0.03019958191377526
13.1875,0.31829398235545076,0.08686735806556121,0.6079584149405393,0.10562348263922175,0.0,76312.07186226637,0.030488564449268823
13.3125,0.3218888660013949,0.08673657870952522,0.6076053074974443,0.10540321115615471,0.0,76289.90729170032,0.030777548170076965
13.4375,0.3255042940588129,0.08660409875386262,0.6072468212501256,0.10518012735103008,0.0,76267.39850402476,0.03106653318310879
13.5625,0.3291407109453184,0.08646990024604746,0.606882874454979,0.10495420323031314,0.0,76244.54005953361,0.03135551944755131
13.6875,0.332798570663159,0.08633396483441608,0.6065133833909931,0.10472541022656144,0.0,76221.32638298112,0.031644506743507134
13.8125,0.336478337359688,0.08619627374193972,0.6061382622260302,0.1044937191525971,0.0,76197.75175471583,0.03193349468060054
13.9375,0.3401804863241039,0.08605680772998435,0.60575742283783,0.10425910013633193,0.0,76173.81029893733,0.03222248274092528
14.0625,0.34390550497116207,0.08591554702119829,0.6053707744403861,0.10402152247338443,0.0,76149.49595967446,0.032511470297193396
14.1875,0.3476538948169204,0.08577247126195663,0.6049782233966219,0.10378095456079267,0.0,76124.80248842236,0.0328004567404379
14.3125,0.3514261725975987,0.08562755940053414,0.6045796726340438,0.10353736366165414,0.0,76099.72340674944,0.033089441479388464
14.4375,0.3552228727614441,0.08548078965946691,0.6041750215001738,0.1032907158607205,0.0,76074.25199649701,0.03337842411177086
14.5625,0.3590445483582841,0.08533213940111144,0.6037641651185112,0.10304097580657691,0.0,76048.38125847968,0.03366740438450549
14.6875,0.3628917731564336,0.08518158511089192,0.603346994289639,0.10278810669096743,0.0,76022.10390541962,0.03395638232455544
14.8125,0.3667651422098022,0.08502910230911226,0.6029233950645999,0.10253207008701035,0.0,75995.41233418277,0.0342453581826682
14.9375,0.3706652726584506,0.0848746655330838,0.6024932486349514,0.10227282592766519,0.0,75968.29861789026,0.03453433243168008
15.0625,0.37459280435292,0.08471824836263926,0.6020564314417047,0.10201033257440527,0.0,75940.75451178323,0.03482330576957487
15.1875,0.3785483987735856,0.08455982337600025,0.6016128149385932,0.10174454674389154,0.0,75912.7714372564,0.03511227892392401
15.3125,0.38253274036808177,0.08439936232495251,0.6011622664064269,0.10147542387705129,0.0,75884.34053215833,0.03540125280136675
15.4375,0.3865465337157115,0.08423683603291048,0.600704648446261,0.10120291795074965,0.0,75855.45261774957,0.03569022809759159
15.5625,0.39059050599090367,0.08407221468278772,0.6002398203226817,0.10092698207065286,0.0,75826.0982824074,0.03597920561638436
15.6875,0.3946654033676247,0.08390546764269541,0.5997676371238575,0.10064756813966341,0.0,75796.26782753396,0.03626818577084413
15.8125,0.3987719942955419,0.08373656374627066,0.5992879510590796,0.1003646274324611,0.0,75765.9513484187,0.03655716897559519
15.9375,0.4029110670071215,0.0835654710849945,0.5988006104730101,0.10007811020031876,0.0,75735.13867086513,0.03684615522943702
16.0625,0.4070834324547754,0.08339215711464368,0.5983054603007705,0.09978796589590212,0.0,75703.81937878235,0.03713514437272774
16.1875,0.4112899252643127,0.08321658852654382,0.5978023414669528,0.0994941429401197,0.0,75671.98277496455,0.03742413602332272
16.3125,0.41553140466408195,0.08303873103605788,0.5972910898087852,0.09919658831373121,0.0,75639.61781160074,0.03771312945024421
16.4375,0.41980876073233747,0.08285854948288611,0.5967715365660654,0.09889524778507461,0.0,75606.71311980799,0.038002124111058376
