"arc_length","N","M"
0.823,0.637225,0.754523
0.824,0.636469,0.755756
0.825,0.635714,0.756991
0.826,0.634958,0.758227
0.827,0.634201,0.759465
0.828,0.633444,0.760704
0.829,0.632687,0.761944
0.83,0.63193,0.763187
0.831,0.631172,0.76443
0.832,0.630414,0.765675
0.833,0.629656,0.766922
0.834,0.628897,0.76817
0.835,0.628138,0.76942
0.836,0.627379,0.770671
0.837,0.626619,0.771923
0.838,0.625859,0.773177
0.839,0.625099,0.774433
0.84,0.624338,0.77569
0.841,0.623577,0.776949
0.842,0.622816,0.778209
0.843,0.622055,0.779471
0.844,0.621293,0.780735
0.845,0.620531,0.782
0.846,0.619769,0.783266
0.847,0.619006,0.784534
0.848,0.618243,0.785804
0.849,0.61748,0.787075
0.85,0.616716,0.788347
0.851,0.615952,0.789622
0.852,0.615188,0.790898
0.853,0.614424,0.792175
0.854,0.613659,0.793454
0.855,0.612894,0.794735
0.856,0.612129,0.796017
0.857,0.611363,0.797301
0.858,0.610597,0.798586
0.859,0.609831,0.799874
0.86,0.609065,0.801162
0.861,0.608298,0.802453
0.862,0.607532,0.803744
0.863,0.606764,0.805038
0.864,0.605997,0.806333
0.865,0.605229,0.80763
0.866,0.604461,0.808929
0.867,0.603693,0.810229
0.868,0.602925,0.811531
0.869,0.602156,0.812834
0.87,0.601387,0.814139
0.871,0.600618,0.815446
0.872,0.599848,0.816755
0.873,0.599079,0.818065
0.874,0.598309,0.819377
0.875,0.597539,0.82069
0.876,0.596768,0.822005
0.877,0.595997,0.823322
0.878,0.595227,0.824641
0.879,0.594455,0.825961
0.88,0.593684,0.827283
0.881,0.592912,0.828607
0.882,0.592141,0.829933
0.883,0.591368,0.83126
0.884,0.590596,0.832589
0.885,0.589824,0.83392
0.886,0.589051,0.835252
0.887,0.588278,0.836586
0.888,0.587505,0.837922
0.889,0.586731,0.83926
0.89,0.585958,0.840599
0.891,0.585184,0.841941
0.892,0.58441,0.843284
0.893,0.583636,0.844629
0.894,0.582861,0.845975
0.895,0.582087,0.847323
0.896,0.581312,0.848674
0.897,0.580537,0.850026
0.898,0.579762,0.851379
0.899,0.578986,0.852735
0.9,0.578211,0.854092
0.901,0.577435,0.855452
0.902,0.576659,0.856813
0.903,0.575882,0.858176
0.904,0.575106,0.85954
0.905,0.57433,0.860907
0.906,0.573553,0.862275
0.907,0.572776,0.863646
0.908,0.571999,0.865018
0.909,0.571221,0.866392
0.91,0.570444,0.867768
0.911,0.569666,0.869145
0.912,0.568888,0.870525
0.913,0.56811,0.871907
0.914,0.567332,0.87329
0.915,0.566554,0.874675
0.916,0.565775,0.876063
0.917,0.564997,0.877452
0.918,0.564218,0.878843
0.919,0.563439,0.880236
0.92,0.56266,0.881631
0.921,0.561881,0.883028
0.922,0.561101,0.884426
0.923,0.560322,0.885827
0.924,0.559542,0.88723
0.925,0.558762,0.888634
0.926,0.557982,0.890041
0.927,0.557202,0.891449
0.928,0.556421,0.89286
0.929,0.555641,0.894272
0.93,0.55486,0.895687
0.931,0.55408,0.897103
0.932,0.553299,0.898522
0.933,0.552518,0.899942
0.934,0.551737,0.901365
0.935,0.550955,0.902789
0.936,0.550174,0.904216
0.937,0.549393,0.905644
0.938,0.548611,0.907075
0.939,0.547829,0.908508
0.94,0.547047,0.909942
0.941,0.546265,0.911379
0.942,0.545483,0.912818
0.943,0.544701,0.914259
0.944,0.543919,0.915702
0.945,0.543136,0.917147
0.946,0.542354,0.918594
0.947,0.541571,0.920043
0.948,0.540789,0.921494
0.949,0.540006,0.922948
0.95,0.539223,0.924403
0.951,0.53844,0.925861
0.952,0.537657,0.92732
0.953,0.536873,0.928782
0.954,0.53609,0.930246
0.955,0.535307,0.931712
0.956,0.534523,0.933181
0.957,0.53374,0.934651
0.958,0.532956,0.936124
0.959,0.532172,0.937598
0.96,0.531389,0.939075
0.961,0.530605,0.940554
0.962,0.529821,0.942036
0.963,0.529037,0.943519
0.964,0.528253,0.945005
0.965,0.527468,0.946493
0.966,0.526684,0.947983
0.967,0.5259,0.949475
0.968,0.525115,0.95097
0.969,0.524331,0.952466
0.97,0.523546,0.953966
0.971,0.522762,0.955467
0.972,0.521977,0.95697
0.973,0.521193,0.958476
0.974,0.520408,0.959984
0.975,0.519623,0.961495
0.976,0.518838,0.963007
0.977,0.518053,0.964522
0.978,0.517269,0.966039
0.979,0.516484,0.967559
0.98,0.515699,0.969081
0.981,0.514914,0.970605
0.982,0.514129,0.972131
0.983,0.513343,0.97366
0.984,0.512558,0.975191
0.985,0.511773,0.976725
0.986,0.510988,0.97826
0.987,0.510203,0.979799
0.988,0.509417,0.981339
0.989,0.508632,0.982882
0.99,0.507847,0.984428
0.991,0.507062,0.985975
0.992,0.506276,0.987525
0.993,0.505491,0.989078
0.994,0.504706,0.990633
0.995,0.50392,0.99219
0.996,0.503135,0.99375
0.997,0.502349,0.995312
0.998,0.501564,0.996877
0.999,0.500778,0.998445
1,0.5,1
