"arc_length","N","M"
0.817,0.788304,0.518215
0.818,0.787594,0.519316
0.819,0.786882,0.520422
0.82,0.786167,0.521531
0.821,0.785449,0.522645
0.822,0.784729,0.523761
0.823,0.784005,0.524882
0.824,0.78328,0.526007
0.825,0.782551,0.527136
0.826,0.78182,0.528268
0.827,0.781085,0.529405
0.828,0.780348,0.530546
0.829,0.779609,0.531691
0.83,0.778866,0.532839
0.831,0.77812,0.533993
0.832,0.777372,0.53515
0.833,0.776621,0.536312
0.834,0.775866,0.537477
0.835,0.775109,0.538648
0.836,0.774349,0.539822
0.837,0.773585,0.541001
0.838,0.772819,0.542185
0.839,0.772049,0.543373
0.84,0.771277,0.544565
0.841,0.770501,0.545762
0.842,0.769722,0.546964
0.843,0.76894,0.548171
0.844,0.768155,0.549382
0.845,0.767366,0.550598
0.846,0.766575,0.551819
0.847,0.76578,0.553045
0.848,0.764981,0.554276
0.849,0.764179,0.555512
0.85,0.763374,0.556752
0.851,0.762566,0.557999
0.852,0.761754,0.55925
0.853,0.760938,0.560506
0.854,0.760119,0.561768
0.855,0.759297,0.563035
0.856,0.75847,0.564307
0.857,0.757641,0.565586
0.858,0.756807,0.566869
0.859,0.75597,0.568158
0.86,0.755129,0.569453
0.861,0.754285,0.570754
0.862,0.753436,0.57206
0.863,0.752584,0.573372
0.864,0.751728,0.57469
0.865,0.750868,0.576014
0.866,0.750004,0.577345
0.867,0.749136,0.578681
0.868,0.748264,0.580023
0.869,0.747387,0.581373
0.87,0.746507,0.582728
0.871,0.745623,0.58409
0.872,0.744734,0.585458
0.873,0.743841,0.586833
0.874,0.742944,0.588215
0.875,0.742042,0.589603
0.876,0.741136,0.590999
0.877,0.740226,0.592401
0.878,0.739311,0.59381
0.879,0.738391,0.595227
0.88,0.737467,0.596651
0.881,0.736538,0.598082
0.882,0.735605,0.599521
0.883,0.734667,0.600967
0.884,0.733724,0.602421
0.885,0.732775,0.603883
0.886,0.731822,0.605352
0.887,0.730864,0.60683
0.888,0.729901,0.608316
0.889,0.728933,0.60981
0.89,0.72796,0.611312
0.891,0.726981,0.612823
0.892,0.725997,0.614342
0.893,0.725007,0.61587
0.894,0.724012,0.617407
0.895,0.723012,0.618953
0.896,0.722006,0.620508
0.897,0.720994,0.622073
0.898,0.719976,0.623646
0.899,0.718953,0.62523
0.9,0.717923,0.626823
0.901,0.716888,0.628426
0.902,0.715846,0.630039
0.903,0.714798,0.631662
0.904,0.713744,0.633295
0.905,0.712683,0.634939
0.906,0.711616,0.636594
0.907,0.710542,0.63826
0.908,0.709462,0.639936
0.909,0.708375,0.641624
0.91,0.707281,0.643324
0.911,0.70618,0.645035
0.912,0.705072,0.646758
0.913,0.703956,0.648493
0.914,0.702833,0.65024
0.915,0.701703,0.652001
0.916,0.700565,0.653773
0.917,0.699419,0.655559
0.918,0.698266,0.657358
0.919,0.697104,0.659171
0.92,0.695934,0.660997
0.921,0.694756,0.662838
0.922,0.69357,0.664692
0.923,0.692375,0.666562
0.924,0.691171,0.668446
0.925,0.689958,0.670346
0.926,0.688736,0.672261
0.927,0.687504,0.674193
0.928,0.686264,0.67614
0.929,0.685013,0.678105
0.93,0.683753,0.680085
0.931,0.682483,0.682084
0.932,0.681202,0.6841
0.933,0.679911,0.686135
0.934,0.678609,0.688188
0.935,0.677296,0.690261
0.936,0.675972,0.692352
0.937,0.674636,0.694464
0.938,0.673289,0.696596
0.939,0.67193,0.69875
0.94,0.670558,0.700924
0.941,0.669174,0.703122
0.942,0.667777,0.705341
0.943,0.666366,0.707585
0.944,0.664943,0.709852
0.945,0.663504,0.712144
0.946,0.662053,0.714461
0.947,0.660585,0.716805
0.948,0.659104,0.719174
0.949,0.657606,0.721573
0.95,0.656093,0.723999
0.951,0.654563,0.726455
0.952,0.653016,0.728941
0.953,0.651452,0.73146
0.954,0.64987,0.734009
0.955,0.648269,0.736594
0.956,0.646649,0.739212
0.957,0.645009,0.741867
0.958,0.643349,0.744558
0.959,0.641667,0.747289
0.96,0.639964,0.750059
0.961,0.638237,0.752872
0.962,0.636488,0.755727
0.963,0.634713,0.758628
0.964,0.632913,0.761575
0.965,0.631086,0.764573
0.966,0.629232,0.76762
0.967,0.627348,0.770722
0.968,0.625434,0.773879
0.969,0.623488,0.777097
0.97,0.62151,0.780374
0.971,0.619496,0.783719
0.972,0.617447,0.787129
0.973,0.615357,0.790615
0.974,0.613229,0.794174
0.975,0.611055,0.797818
0.976,0.608838,0.801544
0.977,0.60657,0.805366
0.978,0.604253,0.809281
0.979,0.601878,0.813305
0.98,0.599447,0.817438
0.981,0.596949,0.821696
0.982,0.594386,0.826081
0.983,0.591745,0.830613
0.984,0.589026,0.835295
0.985,0.586215,0.840154
0.986,0.58331,0.845194
0.987,0.580293,0.850452
0.988,0.57716,0.855934
0.989,0.573884,0.861692
0.99,0.57046,0.86774
0.991,0.566849,0.874151
0.992,0.563036,0.880957
0.993,0.558963,0.888274
0.994,0.554594,0.89617
0.995,0.549822,0.90486
0.996,0.544559,0.914521
0.997,0.538543,0.925671
0.998,0.53144,0.938977
0.999,0.522009,0.95692
1,0.500011,1
