"arc_length","M"
23.8,0.508958
23.825,0.509168
23.85,0.509409
23.875,0.509685
23.9,0.509999
23.925,0.510355
23.95,0.510756
23.975,0.511206
24,0.511711
24.025,0.512276
24.05,0.512906
24.075,0.513607
24.1,0.514386
24.125,0.515252
24.15,0.516211
24.175,0.517274
24.2,0.518451
24.225,0.519751
24.25,0.521188
24.275,0.522776
24.3,0.524528
24.325,0.526463
24.35,0.528597
24.375,0.530952
24.4,0.53355
24.425,0.536416
24.45,0.53958
24.475,0.543073
24.5,0.54693
24.525,0.551192
24.55,0.555905
24.575,0.561122
24.6,0.566901
24.625,0.573311
24.65,0.580434
24.675,0.588361
24.7,0.597205
24.725,0.607097
24.75,0.618199
24.775,0.630709
24.8,0.644881
24.825,0.661043
24.85,0.679634
24.875,0.70128
24.9,0.72692
24.925,0.758118
24.95,0.797926
24.975,0.854542
25,1
