"arc_length","Nn"
24.175,0.00075834
24.2,0.000828149
24.225,0.000904338
24.25,0.000987489
24.275,0.00107822
24.3,0.00117722
24.325,0.00128523
24.35,0.00140303
24.375,0.00153148
24.4,0.00167154
24.425,0.0018242
24.45,0.00199058
24.475,0.00217181
24.5,0.00236919
24.525,0.00258408
24.55,0.00281792
24.575,0.00307231
24.6,0.00334886
24.625,0.00364936
24.65,0.0039757
24.675,0.00432983
24.7,0.00471385
24.725,0.00512985
24.75,0.00558009
24.775,0.00606681
24.8,0.00659228
24.825,0.00715876
24.85,0.00776828
24.875,0.00842276
24.9,0.00912372
24.925,0.00987204
24.95,0.0106675
24.975,0.0115077
25,0.0123822
